ghi,clear_sky_ghi,temp,humidity,district
3.7505,3.7692,19.28,25.05,Gurugram
3.1726,3.3266,18.96,22.95,Gurugram
3.0857,3.5006,19.43,26.7,Gurugram
3.3398,3.5206,20.59,24.3,Gurugram
2.1758,3.5234,18.15,30.51,Gurugram
2.7946,3.1416,18.88,32.86,Gurugram
2.2956,2.5601,16.89,38.62,Gurugram
2.1166,2.8109,14.27,31.34,Gurugram
3.4008,3.5062,13.37,24.14,Gurugram
3.5916,3.5969,12.55,25.83,Gurugram
3.6346,3.6466,13.1,20.54,Gurugram
3.5686,3.5933,14.93,17.65,Gurugram
2.9328,3.0811,14.46,19.35,Gurugram
3.047,3.0557,12.4,22.7,Gurugram
3.415,3.4627,13.54,20.84,Gurugram
3.0026,3.1397,14.52,18.45,Gurugram
2.8526,2.9206,12.88,24.79,Gurugram
2.4535,2.5666,13.64,27.62,Gurugram
2.4058,2.4773,12.43,27.36,Gurugram
3.1382,3.2726,11.8,29.27,Gurugram
3.7759,3.8035,11.03,22.5,Gurugram
3.623,3.647,13.86,16.96,Gurugram
3.3103,3.522,15.92,18.59,Gurugram
3.4159,3.6113,17.36,29.46,Gurugram
3.5441,3.8227,17.58,30.0,Gurugram
3.6689,3.6715,17.13,23.4,Gurugram
3.1457,3.4452,15.98,26.3,Gurugram
3.5858,3.8405,16.65,21.94,Gurugram
2.9318,3.2366,15.35,21.45,Gurugram
3.3869,3.4274,15.67,19.51,Gurugram
2.7247,3.1534,17.49,24.63,Gurugram
3.1877,3.2486,19.21,28.37,Gurugram
2.8082,3.217,17.97,34.87,Gurugram
2.7295,2.8954,18.35,35.88,Gurugram
2.274,2.7425,18.14,38.5,Gurugram
3.8354,3.8762,14.84,37.37,Gurugram
3.7838,3.8004,16.27,36.3,Gurugram
3.7423,3.8395,17.18,32.68,Gurugram
3.6434,3.6492,16.38,31.75,Gurugram
2.6107,3.4224,16.2,35.28,Gurugram
1.8545,2.9359,13.63,40.22,Gurugram
1.416,2.8536,12.88,45.18,Gurugram
2.5975,3.4874,12.72,42.69,Gurugram
2.3429,2.6143,14.32,30.89,Gurugram
2.563,2.8334,14.1,26.63,Gurugram
1.7748,2.785,13.54,25.37,Gurugram
1.8734,3.0838,12.2,32.37,Gurugram
3.0391,3.6382,11.77,28.46,Gurugram
3.2393,4.0879,13.5,21.24,Gurugram
3.8971,4.2341,13.73,20.56,Gurugram
2.911,3.8693,12.42,21.57,Gurugram
3.0922,3.8465,11.78,19.68,Gurugram
2.8034,3.4421,15.15,15.86,Gurugram
3.3715,3.7068,16.3,19.42,Gurugram
3.367,3.3955,16.74,25.35,Gurugram
2.9978,3.197,18.5,28.38,Gurugram
3.5357,3.78,19.09,39.97,Gurugram
2.2985,3.366,17.67,38.08,Gurugram
3.9588,3.9845,14.8,23.51,Gurugram
4.6284,4.6925,13.55,23.41,Gurugram
4.6378,4.6738,13.53,26.38,Gurugram
4.6956,4.7378,14.82,21.98,Gurugram
4.5185,4.5454,16.07,19.69,Gurugram
4.195,4.2497,17.01,19.01,Gurugram
2.6866,3.4433,15.56,27.65,Gurugram
4.0985,4.253,15.16,54.77,Gurugram
4.3891,4.3961,16.55,41.45,Gurugram
4.1549,4.3529,17.44,30.58,Gurugram
4.1993,4.3558,16.52,22.2,Gurugram
4.2852,4.427,15.99,14.04,Gurugram
3.6576,4.3018,16.05,20.98,Gurugram
4.4354,4.4491,15.49,27.18,Gurugram
3.7301,4.6781,14.41,24.93,Gurugram
4.2146,4.2706,15.8,21.24,Gurugram
3.6622,3.9355,18.42,25.29,Gurugram
1.9166,4.1633,21.04,32.57,Gurugram
3.3518,4.4071,22.11,35.92,Gurugram
3.3538,4.5305,22.69,42.78,Gurugram
5.3866,5.4247,19.96,37.88,Gurugram
5.7482,5.7926,19.77,20.54,Gurugram
5.7334,5.8022,19.92,15.28,Gurugram
5.5824,5.6273,22.49,13.18,Gurugram
5.4811,5.5656,21.17,15.01,Gurugram
4.9445,5.0078,22.1,14.11,Gurugram
4.7645,4.7784,23.09,12.97,Gurugram
4.5497,4.7554,22.54,15.45,Gurugram
4.6219,4.8091,22.96,16.4,Gurugram
4.7645,4.8799,24.46,15.46,Gurugram
4.8924,4.987,25.77,17.41,Gurugram
4.8713,4.9375,25.66,21.23,Gurugram
5.071,5.2404,26.05,22.52,Gurugram
4.2216,4.9798,24.41,31.51,Gurugram
4.3214,5.3926,23.62,39.35,Gurugram
5.1828,5.2879,22.23,42.0,Gurugram
4.9764,5.1266,22.45,37.18,Gurugram
5.7101,5.736,22.36,34.66,Gurugram
5.5898,5.6573,25.13,34.56,Gurugram
4.2816,5.7581,25.82,42.28,Gurugram
5.0957,5.7814,25.12,53.47,Gurugram
5.6134,5.8846,22.08,53.82,Gurugram
4.6334,5.6599,22.73,39.95,Gurugram
5.5584,5.8006,21.13,37.64,Gurugram
6.1279,6.3946,20.83,36.56,Gurugram
4.8905,5.989,23.82,36.48,Gurugram
5.1938,5.9201,25.6,37.27,Gurugram
4.883,5.8063,26.05,37.57,Gurugram
5.9902,6.0137,25.63,36.95,Gurugram
6.4795,6.5167,23.82,28.51,Gurugram
7.1993,7.2118,22.89,22.27,Gurugram
6.9595,6.9782,24.71,19.74,Gurugram
6.4798,6.6274,27.01,18.29,Gurugram
6.1339,6.3727,27.09,20.14,Gurugram
3.9422,5.7811,24.55,37.94,Gurugram
6.1406,6.3814,24.18,25.08,Gurugram
6.8426,6.8772,24.57,23.31,Gurugram
6.5011,6.636,26.32,20.64,Gurugram
5.7648,6.2916,28.51,20.32,Gurugram
6.4063,6.569,29.88,16.3,Gurugram
6.588,6.6341,30.14,18.75,Gurugram
6.2172,6.5527,31.59,24.0,Gurugram
5.5277,6.3569,33.43,23.63,Gurugram
5.9304,6.3974,30.81,23.25,Gurugram
5.6102,6.6926,30.36,28.51,Gurugram
6.0158,6.779,30.16,25.8,Gurugram
6.7416,7.025,29.48,26.35,Gurugram
7.1374,7.2324,28.48,18.05,Gurugram
7.0795,7.1184,29.91,17.86,Gurugram
5.3148,6.5858,29.69,23.32,Gurugram
6.9182,6.9269,28.79,24.95,Gurugram
7.4664,7.4762,28.45,26.12,Gurugram
7.6162,7.6241,29.99,20.61,Gurugram
7.3198,7.3368,31.49,18.09,Gurugram
6.5882,7.0781,32.74,18.75,Gurugram
6.846,7.0577,34.27,19.55,Gurugram
5.795,6.7231,34.27,22.0,Gurugram
6.2734,6.5765,33.86,27.52,Gurugram
5.5625,6.5177,33.37,19.75,Gurugram
6.9245,7.2746,33.29,20.12,Gurugram
7.4794,7.6046,32.58,19.22,Gurugram
6.9288,7.2768,33.61,18.1,Gurugram
7.6745,7.7018,30.77,15.8,Gurugram
7.8202,7.8809,31.19,7.97,Gurugram
7.4892,7.6349,31.07,9.58,Gurugram
6.5914,6.9749,33.62,7.89,Gurugram
5.9866,6.906,33.46,11.3,Gurugram
6.9166,6.9586,32.79,12.69,Gurugram
7.0073,7.0853,33.59,10.66,Gurugram
7.145,7.2955,33.98,7.24,Gurugram
7.65,7.6649,34.81,9.09,Gurugram
7.3385,7.4213,36.01,11.94,Gurugram
4.9174,6.4409,35.4,22.38,Gurugram
5.6407,7.4414,34.83,18.73,Gurugram
6.0557,7.0522,33.41,24.03,Gurugram
5.599,6.9658,32.25,31.78,Gurugram
6.2237,6.4759,32.89,26.91,Gurugram
6.4327,6.4903,34.5,23.78,Gurugram
5.471,6.0139,34.98,25.25,Gurugram
6.3442,6.4937,35.63,25.47,Gurugram
6.6742,6.9818,34.72,27.52,Gurugram
7.0034,7.0356,35.08,25.74,Gurugram
7.0505,7.243,36.77,22.18,Gurugram
7.1887,7.219,37.22,17.02,Gurugram
7.1105,7.2617,36.69,19.54,Gurugram
7.4405,7.4717,36.92,16.17,Gurugram
7.9399,7.9558,37.03,14.47,Gurugram
7.9822,7.997,38.08,13.48,Gurugram
7.6553,7.7095,38.87,12.89,Gurugram
7.1501,7.1842,38.46,14.14,Gurugram
7.1674,7.2413,39.02,15.11,Gurugram
7.1894,7.2612,39.19,23.23,Gurugram
5.4209,7.1213,38.34,27.86,Gurugram
6.0401,6.5695,35.68,35.32,Gurugram
6.007,6.6905,34.77,30.75,Gurugram
6.5004,6.7133,35.51,28.74,Gurugram
6.5868,6.7378,37.05,26.47,Gurugram
6.4946,6.6149,36.75,27.17,Gurugram
6.1188,6.835,34.62,37.97,Gurugram
4.1962,6.8311,32.28,48.87,Gurugram
6.4853,6.7685,34.14,42.31,Gurugram
6.9912,7.055,35.23,36.35,Gurugram
7.0579,7.1496,36.11,28.17,Gurugram
7.2734,7.3661,36.73,27.61,Gurugram
7.169,7.2869,38.04,24.12,Gurugram
6.8563,7.0147,38.76,22.34,Gurugram
6.1063,6.4889,38.34,21.85,Gurugram
7.0714,7.1383,37.26,20.05,Gurugram
7.0058,7.1383,38.02,19.81,Gurugram
6.738,7.4141,38.73,19.24,Gurugram
6.7097,7.1839,39.07,23.17,Gurugram
6.2311,6.9226,37.57,30.89,Gurugram
6.4759,6.6355,37.29,34.53,Gurugram
6.2659,6.3655,36.35,41.47,Gurugram
5.2771,6.5904,35.08,43.34,Gurugram
5.4638,6.3444,35.52,41.59,Gurugram
6.5359,6.6967,35.21,40.28,Gurugram
6.2971,6.4258,36.0,34.14,Gurugram
6.409,6.4687,36.43,31.39,Gurugram
5.8884,6.5657,36.37,37.69,Gurugram
3.4039,6.4896,36.67,38.64,Gurugram
5.2836,6.2136,35.88,43.06,Gurugram
5.9105,6.5717,35.22,43.73,Gurugram
5.0455,6.2249,36.61,41.51,Gurugram
6.1474,6.2844,38.01,30.9,Gurugram
5.9006,6.1956,37.61,29.07,Gurugram
5.4065,5.8968,37.22,34.88,Gurugram
4.7976,5.6479,36.54,41.48,Gurugram
4.1712,5.7924,33.5,57.07,Gurugram
6.7198,6.9271,35.13,50.38,Gurugram
6.2995,6.7483,36.5,47.69,Gurugram
4.722,6.6689,35.34,55.34,Gurugram
2.9158,6.324,33.1,61.19,Gurugram
3.1966,5.7295,31.6,63.24,Gurugram
4.4112,5.6878,30.36,71.59,Gurugram
5.628,6.4181,33.97,56.74,Gurugram
5.0678,5.8471,35.82,51.14,Gurugram
5.6467,6.3199,35.12,50.2,Gurugram
3.1529,5.611,35.56,48.02,Gurugram
5.4504,6.0307,34.64,48.61,Gurugram
5.1324,6.3763,33.87,53.97,Gurugram
4.0078,6.2854,33.25,57.38,Gurugram
4.6646,6.7536,31.53,66.29,Gurugram
5.2363,6.7476,32.05,65.62,Gurugram
4.6421,6.4296,30.55,72.34,Gurugram
3.9266,6.3698,30.81,75.11,Gurugram
1.5852,5.9702,29.11,81.19,Gurugram
2.2178,6.7488,28.31,84.68,Gurugram
4.5029,6.4788,28.14,84.17,Gurugram
6.533,6.7154,29.77,75.81,Gurugram
6.5246,6.7222,31.05,68.15,Gurugram
6.2525,6.7142,31.57,66.51,Gurugram
5.6765,6.4282,30.39,71.07,Gurugram
5.3359,5.9016,30.5,71.33,Gurugram
4.597,6.0362,29.93,71.9,Gurugram
4.3212,5.7346,30.93,68.49,Gurugram
3.785,5.1317,29.41,78.76,Gurugram
2.5668,6.1822,27.73,84.74,Gurugram
4.1906,6.8604,27.63,81.03,Gurugram
2.4288,6.4198,28.6,79.3,Gurugram
3.2784,6.8093,28.41,81.81,Gurugram
3.3439,6.7258,28.56,80.92,Gurugram
3.8105,6.4385,28.68,82.21,Gurugram
5.1331,6.6869,27.9,83.99,Gurugram
6.8198,7.153,28.54,82.29,Gurugram
6.7858,7.2055,28.53,83.18,Gurugram
6.7022,6.9396,29.87,79.29,Gurugram
3.4481,7.2005,29.38,80.5,Gurugram
6.5254,6.883,28.98,82.06,Gurugram
